# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 495, mean track length: 2.6020202020202019
229 -6.5421146221468502 4.4530563298342356 16.648078324376538 7 7 7 0.065898007571559405 82 2548 8 808
228 -2.8231780053207927 4.0209053323777812 17.670074705149137 212 167 146 0.15606284253779781 82 2545 8 592
227 -5.3933897331235885 3.9950979412827268 17.15133562150455 114 79 52 0.021182438976501919 82 2544 8 804
226 -5.5739540447581737 3.955788318231924 17.065717003573059 209 162 118 0.025479369573296301 82 2543 8 586
225 -5.7246639469203329 3.95720094649772 16.995136815092092 117 73 38 0.012448272302403137 82 2542 8 584
224 -6.4625091582415779 3.9991028067045127 16.669199039770284 148 134 113 0.033629491753421968 82 2541 8 801
223 -6.2392139128480659 3.8425317213012753 16.724155457523327 97 69 47 0.010647961405363986 82 2540 8 802
220 -4.9707058314568577 3.8355079854353122 17.194790960954943 36 22 19 0.080123487230773921 82 2537 8 796
219 -6.0472544852971417 3.8277910544935136 16.87672689052928 139 94 61 0.091000974978570973 82 2536 8 803
218 -4.6406457956030396 3.2972088793930392 17.234657359380193 129 103 88 0.35745297022104983 82 2531 8 574
217 1.8153474731844284 2.9187409932014381 16.904905614585562 33 18 13 0.06717706871941366 82 2529 8 794
216 -3.4785864215985169 3.2270052792931678 17.421124898845637 229 182 164 0.40562277340044128 82 2528 8 559
215 -5.879164621221328 3.0977053649731467 16.746397097204522 204 168 135 0.015103044279961363 82 2527 8 789
214 -5.879164621221328 3.0977053649731467 16.746397097204522 204 168 135 0.015103044279961363 82 2526 8 788
213 1.587132381364835 2.6389704095110615 16.960675840071509 55 40 33 0.053431943575134602 82 2525 8 564
212 -5.8886909151239184 2.6876790122132328 16.636496338694602 187 148 115 0.032677571727058069 82 2524 8 787
211 -5.7999411601942326 2.5259682942665824 16.590177568469745 137 97 59 0.0069294729110318436 82 2523 8 783
210 0.53855185515170478 1.9991563178146921 17.005041117555656 201 165 149 0.21808792954932532 82 2518 8 543
209 -4.8250034708234999 2.0571529564810533 16.753069888812238 158 112 81 0.027329934888196669 82 2517 8 548
208 2.3381503825626395 1.5865499280889019 16.268184720105829 89 57 34 0.069595397465088041 82 2514 8 781
207 2.374170844463884 1.2853172384514102 16.068546806115663 104 79 59 0.020178316543276547 82 2512 8 779
206 2.2964905248878509 1.3825030742398223 16.17218670504452 98 68 44 0.037804491440204209 82 2511 8 539
205 2.1719928635390175 1.391875375830905 16.227084826213179 174 140 113 0.20162909024243858 82 2509 8 778
204 1.2920220661341815 1.1601443026257781 16.431972634453444 146 112 85 0.061742227877169001 82 2508 8 538
203 -0.93298813434372285 0.90401789223060647 16.790347708874549 13 15 16 0.53515730982178489 82 2501 8 774 43 2446 5 1117
202 -1.0983854538081494 0.87422237970641636 16.729047302068746 15 11 10 0.32173175507233132 82 2500 8 763 2 1313 70 836
201 -2.5861224004450172 1.120398136032275 16.670801627166423 221 195 192 0.82149675183207371 82 2499 8 772 6 1259 54 1291 39 61
200 -2.9542667972071079 1.0524893316406978 16.517767033003114 221 230 229 1.2618739060912301 82 2497 8 770 6 1047 54 1021 70 839 43 1919 36 710 26 408 20 748 76 831 42 913
199 -3.6026436236600468 1.0880800476102903 16.647910450721515 53 31 33 0.014459874488495679 82 2496 8 769
198 2.0939951307084086 0.7660981217961943 16.003312546691642 93 61 40 0.097445380176617108 82 2495 8 768
197 1.4308694395245836 0.63777723278757692 16.155908337670592 18 15 6 0.83951138673131931 82 2494 8 764
196 0.72819641677025504 0.80382208808096378 16.540637096807298 200 168 147 0.198665709499867 82 2493 8 529
195 -4.4301378031104628 0.56797095466362379 16.281505002573347 55 24 5 0.08568921185794906 82 2492 8 528
194 -5.6183000048937748 0.67455889681649939 15.937021188391475 98 64 47 0.015931753075092384 82 2491 8 761
193 0.86807969184709044 0.18830787874202545 16.156823809805051 66 51 46 1.0186074782445447 82 2490 8 523
192 -3.6027683247976623 0.3509801143175944 16.3420918306795 105 72 66 0.82344867365305374 82 2489 8 762 6 1033 16 757 36 1020 5 995
191 1.6479484952049512 -0.074653360966345159 15.755862435715979 88 60 38 0.61029883462368995 82 2486 8 525
190 -4.1754220002189264 0.10246950332200289 16.146645128532604 94 60 40 0.27277961834514752 82 2485 8 521
189 -5.0387509731950173 0.091208047701942283 15.858015840102395 111 73 37 0.39932953258440029 82 2484 8 759
188 -4.9580160545523917 -0.02271326977972761 15.810919522760553 109 74 42 0.0073838372449331838 82 2483 8 758
187 1.5722499522896256 -0.21578536475676391 15.692580042895102 60 39 22 0.050002905199745665 82 2482 8 518
186 -3.8027609785240846 -0.49724129059853028 15.866096243593482 198 147 104 0.0537167002149277 82 2481 8 757
185 0.77952896957103457 -0.73605436337533325 15.680464896410548 48 35 27 0.47717249086319902 82 2479 8 513
184 -1.5950905097749257 -1.4965814584553936 15.505219186664574 163 134 126 0.06170302897284087 82 2478 8 503
183 -2.3423659070353784 -1.4771568355580387 15.438034835525475 121 77 64 0.069072748552221841 82 2477 8 752
182 -4.4645083165894555 -1.2200287315003677 15.224923382071289 219 186 150 0.034023822029725058 82 2476 8 751
181 -4.4645083165894555 -1.2200287315003677 15.224923382071289 219 186 150 0.034023822029725058 82 2475 8 750
180 0.70674993952863718 -1.524587633891789 15.105048459694299 34 19 8 0.028808593674674695 82 2474 8 504
179 0.67679036714629748 -1.4435992149680468 15.172016481643935 87 64 44 0.33752724429558978 82 2473 8 505
178 0.6378365470946652 -1.654005178386571 14.993707466272381 63 43 30 0.32484944445541769 82 2472 8 500
177 -4.5861763838407814 -1.490038021700729 14.999281837769782 237 212 192 0.14930091278938129 82 2471 8 749
176 0.25501341526821236 -1.954746397021119 14.867770902955494 91 71 52 0.20772628891125752 82 2468 8 499
175 -0.31682758914372777 -2.0957817351888566 14.902577871823752 92 70 56 0.013495011416843526 82 2467 8 492
174 -3.0238507035295408 -2.0061877261673251 15.003507049374271 12 10 11 0.024955949675527816 82 2465 8 488
173 -3.1560303495768927 -2.0336701823460346 14.936202499723654 173 144 130 0.14865190464583397 82 2464 8 740
172 -0.30577739787845337 -2.3682334577315634 14.691664871637885 71 53 39 0.11721836696111368 82 2462 8 739
171 -0.7187174624213325 -2.3291211327911499 14.759580164140788 56 47 41 0.089939254806111868 82 2461 8 491
170 -0.7187174624213325 -2.3291211327911499 14.759580164140788 56 47 41 0.089939254806111868 82 2460 8 490
169 -2.3719350488936315 -2.3218487341290435 14.7943374199736 130 105 90 0.15216731719924087 82 2458 8 742
168 -1.3441196169265677 -2.9060477886586473 14.318265052004261 10 7 1 0.12498304479025518 82 2457 8 736
167 -1.5817676702776311 -2.943659308996375 14.296119797189284 14 10 1 0.096965649747860164 82 2456 8 734
166 -1.9035946446584071 -2.8887346530364346 14.349218380620547 214 201 195 0.065833749896050966 82 2455 8 733
165 -2.1425582186920042 -2.9006368734607042 14.285562014524684 22 16 2 0.033446048536866398 82 2453 8 483
164 -5.6714179623301328 5.5433269884680483 17.16228673723483 75 47 26 0.006220932261529824 82 2449 8 239
163 1.1338103315981629 5.3408756750075952 17.419670689338663 85 45 19 0.090595498740814115 82 2448 8 253
162 -6.2321587106810528 5.0148292087907764 16.950864551221954 232 206 171 0.018339997950263837 82 2446 8 605
161 -5.7986114487282681 4.6893261687275434 17.023605170658389 90 49 21 0.082290706242777845 82 2444 8 217
160 -5.9222995849349314 4.6941178823509659 16.920999599690873 248 214 180 0.066990930736527954 82 2443 8 218
159 -6.4748297819963474 4.8253191624732512 16.711988816914051 180 127 84 0.031135364268628819 82 2442 8 595
158 0.73839029941454992 4.532965083139989 17.582164072193557 81 58 42 0.042465559292731533 82 2441 8 227
157 -3.7032246107395705 4.761943436343822 18.499541678678021 135 108 90 0.84875008478110026 82 2438 8 591 70 544
156 -4.6881578936399295 4.5138893971272953 17.473795312038746 87 60 41 0.19112913340840545 82 2437 8 596
155 2.5000047269610044 4.1402756588452316 16.853686608812563 78 51 30 0.090782363440122749 82 2435 8 214
154 2.0814859858883157 4.1156506278097309 17.03665227053834 64 42 28 0.040814483306098701 82 2433 8 593
153 0.75207483121326879 4.2854725899525361 17.626504644335323 90 59 39 0.23678799409923118 82 2432 8 210
151 -4.5540489392094061 4.2414507594455397 17.379079253014524 71 39 23 0.21171091349291737 82 2428 8 590
150 -6.5398536964936493 3.95215884642404 16.553708945239496 30 22 11 0.13269594940956222 82 2426 8 199
149 1.6618307044149603 3.6287917528687981 17.087792930659383 97 79 65 0.03234936091989167 82 2425 8 194
148 0.55267294911602571 3.6646632458620569 17.421540095094748 66 53 47 0.050050336227523681 82 2424 8 191
146 -5.104615314123417 3.7168992942912986 17.097056450411952 99 78 61 0.011970121298765478 82 2421 8 573
145 -5.631540087760099 3.7947115110015943 17.005011573348416 111 71 42 0.17447566670767253 82 2420 8 585
144 -6.1154260580176327 3.5684609040184854 16.745208429408436 141 91 58 0.0017417487139564885 82 2419 8 572
143 -6.3086694808683452 3.6768906899812328 16.643438093110131 204 166 138 0.12392505624623935 82 2418 8 570
142 -3.6101254669791185 3.4623031610306794 17.666556513450615 199 144 122 0.38080551555554121 82 2414 8 576
141 -6.130902391641774 3.2520066080254009 16.650126279539897 223 194 163 0.013879949092811459 82 2411 8 569
140 -6.130902391641774 3.2520066080254009 16.650126279539897 223 194 163 0.013879949092811459 82 2410 8 568
139 -6.0004035666181581 3.0043474974465747 16.735554976816125 143 101 61 0.05109967570060045 82 2407 8 554
138 0.72692649879635662 2.6568451947985738 17.139872030870539 83 54 36 0.048272190196554002 82 2405 8 174
137 0.49695943664454312 2.7017239461670051 17.245955259285019 251 245 245 0.072183555953816383 82 2404 8 173
136 -4.1250610566744141 2.7258039178141567 17.338205823729318 139 109 102 0.39201253852606444 82 2401 8 169
135 -4.6578516220310124 2.6238286181700445 17.195910896147456 99 64 44 0.10221701995854357 82 2400 8 145
134 -4.8541472943978468 2.581978713091408 17.00296731582846 110 65 32 0.02353499756140999 82 2399 8 143
133 1.5585977994134586 2.3382384590078535 16.86988074086516 69 55 46 0.048706817760196121 82 2397 8 158
132 -4.1827842722956659 2.4404797953418229 17.195256573205281 93 91 84 0.17213126961473765 82 2392 8 147
131 -4.191066702265136 2.2994551866168536 17.080005246042024 100 92 84 0.11129304763206826 82 2391 8 551
130 -4.3987836024125997 2.3650803437255985 17.027696821344385 22 20 12 0.054470936572759608 82 2390 8 552
129 -4.9406468476845262 2.2676589296488232 16.810888004524049 201 158 126 0.037305554635661348 82 2389 8 550
128 -6.0181924540897338 2.400976889350559 16.468896365056917 172 131 109 0.025659998110636892 82 2388 8 142
59 0.81542478382759498 2.9026070394722674 17.148977198461647 68 39 21 0.038010049834517265 82 2198 8 175
58 -4.3494692665298862 3.1277202015794723 17.411280043033106 20 10 8 0.072437930741064332 82 2195 8 557
57 -4.6724761667786083 3.0648544207438388 17.18218480913108 135 116 102 0.10272603595605001 82 2194 8 168
56 -4.6724761667786083 3.0648544207438388 17.18218480913108 135 116 102 0.10272603595605001 82 2193 8 167
